gene,mean_pos,mean_neg,log2FC,pvalue,u_stat,FDR
CARTPT,41.69699047619048,2.2357924731182792,4.161415060469654,0.004274876567753844,22925.5,0.010301706428304028
MMP27,2.2210261904761905,0.07757440860215054,3.708267216498202,0.01693735795510904,22215.5,0.034145830876404125
PAGE2,39.21427500000001,3.174832043010752,3.585560427832663,1.6635978484168032e-05,24909.0,8.031459180131885e-05
CALCB,37.427854761904754,3.384316129032258,3.4290143930448687,2.1017373811949527e-09,27524.0,3.4335131275612545e-08
COL9A1,52.37407261904762,5.473337634408603,3.234991304750333,2.503967053501353e-10,27995.0,5.740952752431146e-09
MAGEB2,7.320047619047621,0.6982916129032258,3.216440686668132,0.0025381896373448533,22744.5,0.006524873098897816
SST,860.4465630952383,97.89467956989247,3.1344779286450013,4.031907202398297e-10,27879.5,8.628559156452843e-09
C19orf85,5.338236904761905,0.5669475268817203,3.0274938358047803,9.759630456068268e-05,24485.5,0.00037854198012059214
UPK2,53.02363452380952,6.757701505376345,2.9535568392718883,4.0656586646781034e-10,27895.0,8.651209203093084e-09
UCMA,8.334638095238097,1.013972043010753,2.9206131418779995,0.0006206279133396831,23719.5,0.001921040236574509
VSTM2B,3.2749976190476193,0.3815030107526882,2.8092697602637555,0.0012162415236461855,23245.0,0.003435481436697211
ARHGAP36,1.7854916666666667,0.17345354838709678,2.7855730861673704,1.1581676772273291e-11,28413.0,4.497551146566128e-10
FREM3,1.6312000000000004,0.16769505376344085,2.69311001680494,6.132740348368251e-10,27603.0,1.2329643465483906e-08
TDRD12,7.157186904761904,1.1163870967741936,2.5768080086149663,3.356096338413738e-08,26918.5,3.74596621245701e-07
PVALB,6.603816666666667,1.054941075268817,2.5371634476512095,1.331554528710978e-07,26558.5,1.2214653747624326e-06
CLDN9,76.01362619047619,13.02580494623656,2.5357488549031273,3.0890470158762775e-14,29692.0,3.532505299137044e-12
CYP2F1,1.8522559523809525,0.2394883870967742,2.5237080811564336,3.146124769002207e-05,24992.5,0.00013966126624005988
CNGA2,0.9443892857142858,0.08423677419354839,2.5030266009821736,1.3364076261453802e-10,25917.0,3.389202469571413e-09
ACTL8,22.566939285714287,3.912335483870968,2.4980754529458893,6.901290517472589e-14,29539.0,6.660487172317653e-12
LHX9,4.685990476190476,0.8014189247311828,2.408547882038692,0.0024453506652463057,23566.0,0.006317579542646035
AARD,8.692467857142857,1.5796182795698923,2.3881347612966186,2.720194060876035e-16,30466.5,6.945810588319082e-14
SLC7A10,3.2342083333333327,0.538276559139785,2.3850906813610733,1.7608401566093428e-14,29679.5,2.263590380634355e-12
GAGE2A,5.694676190476191,1.0100152688172044,2.3841485232274895,4.019573668712064e-09,24230.0,6.003594005191737e-08
BPIFB4,3.116379761904761,0.5177156989247311,2.3804228557298233,4.6230963693987066e-06,25430.5,2.649078276224774e-05
IGSF1,11.131965476190475,2.087250537634409,2.360420018513249,3.5592606594379897e-16,30427.5,8.466508942957744e-14
ZFP42,2.9139071428571426,0.5068974193548387,2.3121103777010594,4.8227056243077033e-05,24218.0,0.00020407544344403086
SELENOV,4.07322619047619,0.7440120430107526,2.305827627679964,1.8409023989923832e-09,27457.5,3.072016178801972e-08
HIF3A,13.882514285714286,2.7601047311827953,2.2894839226791537,3.533124376560252e-16,30440.0,8.466508942957744e-14
PROK2,13.482109523809523,2.6799438709677426,2.288579911805096,0.00024588458933005603,24421.0,0.0008547722389243275
CYP2W1,20.02131428571429,4.035317634408602,2.282654489896354,0.0010395221168738146,23918.0,0.002998559619085098
IFIT1,108.42369285714287,22.316227096774192,2.275394663884998,7.295706474927228e-29,34447.0,1.3599196869264352e-24
PRR20G,8.486385714285714,1.70092688172043,2.2533113739326613,1.0711789417553174e-06,25675.0,7.500666970067287e-06
MAGEA10,5.048377380952381,0.9874866666666666,2.2431200957136435,2.2683715995568935e-05,24546.0,0.00010502346402320043
LGALS14,1.6477059523809519,0.2761892473118279,2.215931957301755,0.011865732234416209,22392.5,0.025091572936225864
KLK5,42.010019047619046,8.964974193548388,2.215788710102579,8.537941875377245e-09,27210.0,1.1483487140806632e-07
CRYGC,8.810079761904761,1.8190191397849462,2.215069245967655,0.014317306097917126,22407.5,0.029485646410913183
KCNK2,3.382395238095238,0.6574417204301075,2.2008731592712873,1.6544353175407423e-06,25931.0,1.0839604330038468e-05
EZHIP,0.8510166666666666,0.10746666666666667,2.196591065086099,0.00019141379437565996,23888.5,0.0006862768084559149
TGM7,17.733213095238096,3.8075210752688173,2.190241104089576,0.0015618610905107075,23761.5,0.004268781631542462
XAGE5,0.6733154761904762,0.06998193548387098,2.1856756509119606,4.002851623066015e-06,22745.0,2.3433779602371392e-05
PPDPFL,0.6049595238095238,0.055121075268817196,2.1841457165604954,0.0035201142550464783,22137.0,0.00870224532016795
TKTL1,22.218246428571426,4.883444086021505,2.163008630643301,1.722528097019013e-09,27575.5,2.8900021357726737e-08
PNOC,29.303196428571432,6.509107096774194,2.153445720208473,4.0273518833286985e-08,26873.5,4.3926178528523664e-07
WFIKKN2,1.4404809523809525,0.24731247311827959,2.149074715339221,8.989141308759819e-06,25454.0,4.700072762841039e-05
CLDN6,236.8963273809524,53.41259354838709,2.146914344946099,2.924526098917413e-14,29701.0,3.407072905238786e-12
SOX11,5.684469047619048,1.207315483870968,2.1455772043649066,6.818411992524781e-11,28257.5,1.916971335454931e-09
NPPB,2.6860190476190478,0.5357451612903226,2.131684639878278,9.684743913340537e-05,24481.5,0.00037624765849242933
FOXI3,3.304979761904762,0.6787870967741936,2.1283453370749434,1.2407096492231937e-16,30394.0,3.717380342954006e-14
FBXO17,20.25500119047619,4.590106451612903,2.117690732698629,4.692387061768e-07,26272.0,3.6718414359809177e-06
MYOD1,2.7500357142857146,0.5668498924731182,2.0955460448049417,1.3229248006489186e-14,29039.5,1.8266161691922845e-12
