gene,mean_pos,mean_neg,log2FC,pvalue,u_stat,FDR
CARTPT,41.69699047619048,2.2357924731182792,4.161415060469654,0.004274876567753844,22925.5,0.010301706428304028
BPIFA1,33.41030238095237,2.121093548387097,3.9152626418450045,0.496483043093207,18718.5,0.5863551874331482
MMP27,2.2210261904761905,0.07757440860215054,3.708267216498202,0.01693735795510904,22215.5,0.034145830876404125
PAGE2,39.21427500000001,3.174832043010752,3.585560427832663,1.6635978484168032e-05,24909.0,8.031459180131885e-05
CALCB,37.427854761904754,3.384316129032258,3.4290143930448687,2.1017373811949527e-09,27524.0,3.4335131275612545e-08
ERVW-1,2.1222702380952376,0.11230623655913981,3.3878156090498015,0.04572463636813433,22180.0,0.07978910521456879
LIM2,2.412876190476191,0.14058881720430108,3.384698099964075,0.16855374438714377,21150.0,0.24218313384539888
COL9A1,52.37407261904762,5.473337634408603,3.234991304750333,2.503967053501353e-10,27995.0,5.740952752431146e-09
MAGEB2,7.320047619047621,0.6982916129032258,3.216440686668132,0.0025381896373448533,22744.5,0.006524873098897816
QRFPR,1.5309380952380953,0.07879419354838711,3.189330233397384,0.06477598753686935,21782.0,0.10741254405188548
LHX3,3.554128571428571,0.30596064516129035,3.1701156156028407,0.26521104593682254,20774.5,0.3533367090459847
SST,860.4465630952383,97.89467956989247,3.1344779286450013,4.031907202398297e-10,27879.5,8.628559156452843e-09
IL36B,1.3532595238095237,0.0737468817204301,3.0642333724113615,0.10684284946678235,21100.5,0.16516001955128243
C19orf85,5.338236904761905,0.5669475268817203,3.0274938358047803,9.759630456068268e-05,24485.5,0.00037854198012059214
UPK2,53.02363452380952,6.757701505376345,2.9535568392718883,4.0656586646781034e-10,27895.0,8.651209203093084e-09
UCMA,8.334638095238097,1.013972043010753,2.9206131418779995,0.0006206279133396831,23719.5,0.001921040236574509
APCS,1.5831952380952379,0.13290172043010753,2.8534093264429616,0.31673082302838507,20413.5,0.4078590613252714
VSTM2B,3.2749976190476193,0.3815030107526882,2.8092697602637555,0.0012162415236461855,23245.0,0.003435481436697211
ARHGAP36,1.7854916666666667,0.17345354838709678,2.7855730861673704,1.1581676772273291e-11,28413.0,4.497551146566128e-10
LCN9,1.491567857142857,0.13750731182795697,2.7444048345637144,0.8304808299315144,19751.0,0.8726626455788616
RHOXF1,12.735325,1.825027311827957,2.7371690068118237,0.0896273129832486,21800.5,0.14191752582464778
MYOC,19.86735357142857,2.9336279569892465,2.7185270639047396,0.5162696473923671,20399.0,0.6051639941858715
FREM3,1.6312000000000004,0.16769505376344085,2.69311001680494,6.132740348368251e-10,27603.0,1.2329643465483906e-08
MUC2,5.8259083333333335,0.8854445161290321,2.5881897596760686,0.14487083213096172,21481.0,0.21301509118254527
TDRD12,7.157186904761904,1.1163870967741936,2.5768080086149663,3.356096338413738e-08,26918.5,3.74596621245701e-07
PVALB,6.603816666666667,1.054941075268817,2.5371634476512095,1.331554528710978e-07,26558.5,1.2214653747624326e-06
CLDN9,76.01362619047619,13.02580494623656,2.5357488549031273,3.0890470158762775e-14,29692.0,3.532505299137044e-12
CYP2F1,1.8522559523809525,0.2394883870967742,2.5237080811564336,3.146124769002207e-05,24992.5,0.00013966126624005988
CNGA2,0.9443892857142858,0.08423677419354839,2.5030266009821736,1.3364076261453802e-10,25917.0,3.389202469571413e-09
ACTL8,22.566939285714287,3.912335483870968,2.4980754529458893,6.901290517472589e-14,29539.0,6.660487172317653e-12
SIGLEC16,5.068170238095239,0.8259322580645162,2.4806750390392684,0.281822916298624,18089.5,0.3716959711176927
TG,3.2132178571428573,0.49536408602150533,2.476388967396855,0.08534579885470771,21832.5,0.13631965185831946
