uniqueSampleKey,uniquePatientKey,entrezGeneId,molecularProfileId,sampleId,patientId,studyId,value
QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,1515,ucec_cptac_2020_mrna,C3L-00006,C3L-00006,ucec_cptac_2020,10.84
QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,4283,ucec_cptac_2020_mrna,C3L-00006,C3L-00006,ucec_cptac_2020,9.66
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,50943,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,1.89
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,3002,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,3.04
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,84868,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,7.79
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,3458,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,4.38
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,3394,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,7.56
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,3902,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,3.04
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,4118,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,2.68
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,94025,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,15.57
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,5133,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,3.86
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,55509,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,3.04
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,6772,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,12.99
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,7040,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,6.95
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,201633,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,5.38
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,79679,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,10.09
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,2829,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,0.0
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,898,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,10.96
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,925,ucec_cptac_2020_mrna,C3L-00008,C3L-00008,ucec_cptac_2020,5.55
