sample_id,cDC1_score
TCGA-2E-A9G8-01A,-0.4205960616725862
TCGA-4E-A92E-01A,1.5118076231246196
TCGA-5B-A90C-01A,-0.5797268926951971
TCGA-5S-A9Q8-01A,0.0010963194492074723
TCGA-A5-A0G1-01A,1.1570064712442116
TCGA-A5-A0G2-01A,-0.3253123782677592
TCGA-A5-A0G3-01A,-0.8981646231818221
TCGA-A5-A0G5-01A,0.4638777330404116
TCGA-A5-A0G9-01A,-0.13216680592585694
TCGA-A5-A0GA-01A,0.04160367315193232
TCGA-A5-A0GB-01A,-0.8570588976806462
TCGA-A5-A0GD-01A,-0.182195818208855
TCGA-A5-A0GE-01A,0.15336846539420126
TCGA-A5-A0GG-01A,0.7351910568861536
TCGA-A5-A0GH-01A,-0.1046743679384697
TCGA-A5-A0GI-01A,-0.3171105055479187
TCGA-A5-A0GJ-01A,-0.5996941643085913
TCGA-A5-A0GM-01A,-0.19148547543303168
TCGA-A5-A0GN-01A,-0.08183414189113584
TCGA-A5-A0GP-01A,-0.5076245738041831
TCGA-A5-A0GQ-01A,0.31077428957314446
TCGA-A5-A0GR-01A,-0.2925156309038651
TCGA-A5-A0GU-01A,0.4315278076814801
TCGA-A5-A0GV-01A,-0.9453872839523998
TCGA-A5-A0GW-01A,1.243552827006377
TCGA-A5-A0GX-01A,0.024168524767902388
TCGA-A5-A0R6-01A,-0.3859860863229854
TCGA-A5-A0R7-01A,-0.05359540300722382
TCGA-A5-A0R8-01A,0.7725038910927872
TCGA-A5-A0R9-01A,0.16694788053532916
TCGA-A5-A0RA-01A,0.3489759759761367
TCGA-A5-A0VO-01A,0.016770523755437174
TCGA-A5-A0VP-01A,-0.45072166448676737
TCGA-A5-A0VQ-01A,-0.12714434921122783
TCGA-A5-A1OF-01A,0.2665925676173734
TCGA-A5-A1OG-01A,0.008104424790907583
TCGA-A5-A1OH-01A,0.3867588133154625
TCGA-A5-A1OJ-01A,0.1735616809437128
TCGA-A5-A1OK-01A,-0.012943572856139885
TCGA-A5-A2K2-01A,0.39076030582861093
TCGA-A5-A2K3-01A,0.8972247410604515
TCGA-A5-A2K4-01A,1.8145061250808219
TCGA-A5-A2K5-01A,-0.5962883210160902
TCGA-A5-A2K7-01A,-0.22907885247396695
TCGA-A5-A3LO-01A,-0.16014372033297103
TCGA-A5-A3LP-01A,0.26900424668920386
TCGA-A5-A7WJ-01A,-0.3093372963394999
TCGA-A5-A7WK-01A,-0.7948751032745062
TCGA-A5-AB3J-01A,0.8291249215468343
TCGA-AJ-A23M-01A,0.08634229817752889
TCGA-AJ-A23N-01A,0.33923045165458915
TCGA-AJ-A23O-01A,0.3242247852346193
TCGA-AJ-A2QK-01A,0.7884055246326647
TCGA-AJ-A2QL-01A,0.33875898860418274
TCGA-AJ-A2QM-01A,0.15385416443557384
TCGA-AJ-A2QN-01A,-0.0827176552855303
TCGA-AJ-A2QO-01A,-0.7617039305935801
TCGA-AJ-A3BD-01A,0.24645266662363988
TCGA-AJ-A3BF-01A,0.013387553702945887
TCGA-AJ-A3BG-01A,-0.4033502454104839
TCGA-AJ-A3BH-01A,0.7630703622022298
TCGA-AJ-A3BI-01A,-0.5001918105320879
TCGA-AJ-A3BK-01A,0.6672227126215434
TCGA-AJ-A3EJ-01A,0.36164814267517054
TCGA-AJ-A3EK-01A,1.3466114025104332
TCGA-AJ-A3EL-01A,0.2327884304826054
TCGA-AJ-A3EM-01A,-0.6965451956773293
TCGA-AJ-A3I9-01A,-0.6768917962846573
TCGA-AJ-A3IA-01A,0.8257376249797354
TCGA-AJ-A3NC-01A,-0.1959890677774464
TCGA-AJ-A3NE-01A,0.4646200090702403
TCGA-AJ-A3NF-01A,2.408876780644289
TCGA-AJ-A3NG-01A,0.06873311496274392
TCGA-AJ-A3NH-01A,-0.7689798606498645
TCGA-AJ-A3OJ-01A,-0.3632415971359873
TCGA-AJ-A3OK-01A,1.1050872876682276
TCGA-AJ-A3OL-01A,-0.5229472605248632
TCGA-AJ-A3QS-01A,0.8228698840064765
TCGA-AJ-A3TW-01A,0.32493948388307414
TCGA-AJ-A5DV-01A,0.0750594574403112
TCGA-AJ-A5DW-01A,-0.1905403779842241
TCGA-AJ-A6NU-01A,1.2641844480658613
TCGA-AJ-A8CT-01A,0.7711507291285187
TCGA-AJ-A8CV-01A,0.897449973648952
TCGA-AJ-A8CW-01A,-0.14877971615930555
TCGA-AP-A051-01A,0.04055033674580866
TCGA-AP-A052-01A,-0.2954376800645603
TCGA-AP-A053-01A,-0.5098234560251454
TCGA-AP-A054-01A,0.05956917892025335
TCGA-AP-A056-01A,0.115951053795242
TCGA-AP-A059-01A,1.2139842871692539
TCGA-AP-A05A-01A,-0.8216549178861046
TCGA-AP-A05D-01A,0.6818093555132473
TCGA-AP-A05H-01A,-1.184084396553035
TCGA-AP-A05J-01A,-1.1293435717151863
TCGA-AP-A05N-01A,-0.2860818851996383
TCGA-AP-A05O-01A,-0.5219978503209226
TCGA-AP-A05P-01A,-0.29366768761016704
TCGA-AP-A0L8-01A,-0.7385452515379314
TCGA-AP-A0L9-01A,-0.8284152730754851
TCGA-AP-A0LD-01A,-0.6529197454549978
TCGA-AP-A0LE-01A,-0.6496644922415895
TCGA-AP-A0LF-01A,-0.06557257763241639
TCGA-AP-A0LG-01A,-0.3545508747117931
