gene,log2FC,mean_tumor_tpm,mean_normal_tpm,pvalue,FDR,mut_freq_pct,n_mut_samples
CLDN6,5.775341594001239,81.48660746812386,0.5060257142857143,2.189324774723077e-05,4.792924646149326e-05,1.183431952662722,6
LEFTY1,5.425290498627272,76.65026484517304,0.80704,1.3516142926018725e-12,8.249926703002336e-12,1.5779092702169626,8
AOC1,5.363321741565171,109.32878852459017,1.680205714285714,2.840259486253838e-13,1.93630899282183e-12,6.508875739644971,33
KRT6A,5.262388434120097,66.38255846994535,0.75554,2.8455057772870066e-12,1.6448897797365464e-11,3.7475345167652856,19
PI3,5.235912234155904,367.6491151183971,8.782425714285715,1.0578873915169465e-14,9.293411174252708e-14,1.5779092702169626,8
ALPG,5.140434939922768,134.58633169398908,2.8440657142857146,4.9422056531264195e-08,1.5355274739224042e-07,2.9585798816568047,15
S100A7,5.063278560133333,46.62051621129326,0.42428,0.00156877844567272,0.0026684922978357085,1.5779092702169626,8
CST1,5.053133246194571,302.1178524590164,8.129917142857142,0.03144351264972412,0.04383598712989256,2.9585798816568047,15
C6orf15,4.771424371521677,29.874529690346083,0.13046857142857143,1.1032873419647098e-09,4.326606742984023e-09,2.9585798816568047,15
AKR1B10,4.716843853693743,39.565118214936255,0.5425571428571428,6.66072048214257e-09,2.328640951777667e-08,2.1696252465483234,11
GLYATL2,4.407909313656404,47.730154280510014,1.29554,2.28733809391852e-06,5.712458957533719e-06,3.353057199211045,17
MYBL2,4.369035749536791,127.53002404371585,5.220048571428571,6.498045793166839e-22,1.1167162447465262e-19,5.719921104536489,29
KRT16,4.360391600358187,47.30348306010929,1.351634285714286,2.4443478263951982e-11,1.2246713352397633e-10,4.142011834319527,21
JSRP1,4.356139320947368,29.885674863387983,0.5080942857142857,1.1813258280493716e-18,2.69944260408094e-17,1.9723865877712032,10
DEFA6,4.3148896406195485,19.212918032786884,0.015588571428571427,0.017059686667022345,0.024819286651899,1.5779092702169626,8
SPRR3,4.214272411079166,20.563729326047362,0.16172,6.329516908592353e-06,1.483300709630066e-05,1.5779092702169626,8
CEACAM5,4.16144923869182,28.515339890710386,0.6494028571428571,4.289486763655428e-10,1.7839161236901247e-09,4.142011834319527,21
KRT5,4.142002012698239,114.9581597449909,5.56802,2.52358644154376e-08,8.142798574728917e-08,3.9447731755424074,20
SFTPB,4.116246349853597,18.670842258652097,0.13425142857142855,0.00015629457153830287,0.0003055513498327907,1.7751479289940828,9
PRAME,3.9826371531490183,224.3064298724954,13.252148571428572,3.427693944638305e-21,3.176971612283301e-19,3.353057199211045,17
GPX2,3.947728628183162,68.13843132969035,3.480585714285714,0.015863069033212645,0.023207316920275094,1.5779092702169626,8
KRT31,3.9452170979796124,15.89483151183971,0.09679428571428572,0.0002021344253646399,0.00038949004317517273,3.353057199211045,17
OLFM4,3.9365282837799196,107.17126539162115,6.064782857142856,0.006505533926010293,0.010104339927633009,4.142011834319527,21
CTSV,3.872114928622387,67.01065154826958,3.644662857142857,8.682942233284577e-18,1.5386807837242635e-16,3.5502958579881656,18
CDC20,3.862583443050245,149.84940473588338,9.370271428571428,1.0099729243501565e-21,1.4364252849938691e-19,1.9723865877712032,10
NXPH4,3.795389374241648,21.59517887067395,0.627382857142857,6.11464560703344e-16,6.905068707319523e-15,1.3806706114398422,7
ZIC2,3.766550915782981,13.602926593806922,0.07298857142857143,6.934538870820436e-12,3.7958202485333626e-11,1.3806706114398422,7
CAPN13,3.7659706431125115,34.508125683060115,1.6101028571428573,6.579161129738876e-14,4.969938990211129e-13,5.128205128205128,26
KIF1A,3.7491765985883077,20.821518397085608,0.62282,2.7541882425652132e-12,1.5943367588014348e-11,8.875739644970414,45
PITX1,3.7210974594237327,24.3614160291439,0.9231428571428572,1.1015323997066164e-17,1.889093714174611e-16,3.155818540433925,16
S100A8,3.699034902341706,150.6164096539162,10.674162857142859,1.3747321659064253e-08,4.586517952097918e-08,1.183431952662722,6
MMP9,3.6934583787361994,67.27075919854279,4.277071428571429,4.0458520840475456e-15,3.880732188962785e-14,4.930966469428008,25
UBE2C,3.6867684939855434,199.98131438979962,14.6073,8.627656294407625e-21,5.670879424109044e-19,1.3806706114398422,7
FGF3,3.672982857345378,12.226022222222223,0.03693428571428571,2.691295335683021e-06,6.644865376848022e-06,1.3806706114398422,7
TMPRSS4,3.6338935374516805,46.988783970856105,2.865705714285714,8.086437842952114e-19,1.959031593730161e-17,2.7613412228796843,14
TFAP2A,3.576071007995411,15.859043533697633,0.4136057142857143,1.711444659484497e-19,5.171334099679645e-18,3.5502958579881656,18
CCNE1,3.5557102044783666,49.36501948998178,3.2830542857142855,1.672524944047398e-20,8.787680422577698e-19,4.142011834319527,21
AQP5,3.534480820616584,252.27553278688526,20.85790285714286,2.203075033745289e-13,1.5336005023936615e-12,1.5779092702169626,8
CST2,3.477422980886516,16.48643041894353,0.5699742857142857,4.112459516540358e-06,9.874451623327439e-06,2.1696252465483234,11
EEF1A2,3.4468349146105814,25.265051730418943,1.4086714285714286,0.00014219572303506058,0.00027948332721836457,2.7613412228796843,14
CA9,3.4420836853106715,41.63851092896175,2.92312,2.811403081923534e-10,1.1975865748921885e-09,3.353057199211045,17
CEACAM6,3.428649301820265,27.571757741347906,1.6534485714285714,1.1177212090265175e-06,2.9039629144125173e-06,1.7751479289940828,9
COL26A1,3.427264214887262,39.433873224043715,2.7586857142857144,3.2532570287579443e-09,1.1953733528668939e-08,2.366863905325444,12
TPX2,3.419157134048823,83.13925519125681,6.865562857142858,1.4459066299459377e-20,8.0048884499490205e-19,4.142011834319527,21
ODAM,3.4175976486190383,16.62075755919854,0.6490171428571428,0.00720984687115336,0.011125998847655798,1.7751479289940828,9
NTS,3.4035698693469287,92.08174663023678,7.796054285714286,0.00048224641857178675,0.0008807817351486037,2.1696252465483234,11
UPK1B,3.4002391731801875,78.55843333333333,6.535502857142857,4.781127222155912e-07,1.3008894846812382e-06,1.5779092702169626,8
ANPEP,3.388999160745302,68.98751038251366,5.680825714285714,6.371909101097186e-09,2.2352489123942458e-08,7.6923076923076925,39
HOXB13,3.385697269855976,10.450057923497267,0.09549714285714286,2.2630467649339755e-14,1.862131946527717e-13,2.7613412228796843,14
GFRA3,3.374132945368353,35.75328069216758,2.5447114285714285,3.832021674672512e-05,8.123964737695593e-05,2.366863905325444,12
MAL,3.3715660746325993,134.59026138433515,12.100442857142857,5.0005961984857454e-06,1.1884159620083236e-05,1.183431952662722,6
POU3F3,3.342637564234565,9.625638433515483,0.04742,1.4584740038071917e-05,3.264401589310955e-05,1.5779092702169626,8
ASF1B,3.337080936852058,85.18975500910746,7.528922857142859,4.174816600036937e-21,3.536536922589399e-19,2.366863905325444,12
AURKB,3.2961019384340973,50.56306976320583,4.249442857142858,9.148375943130805e-21,5.872759000380234e-19,2.1696252465483234,11
ZIC1,3.285681291793605,9.294926958105648,0.05568571428571428,1.5422977161426558e-11,8.00126385112417e-11,3.9447731755424074,20
AMBN,3.269747989132025,8.723451548269582,0.008157142857142856,5.7680601989513234e-05,0.00011920513235913683,3.7475345167652856,19
H3C2,3.2654616772497556,10.353833697632057,0.18070285714285714,1.5566754244258364e-17,2.563076961295155e-16,1.3806706114398422,7
FOXM1,3.261191433168904,32.842271948998174,2.5297428571428573,2.6353148004111045e-20,1.2351540788972273e-18,4.733727810650888,24
UPK2,3.2582900588581225,13.836642076502734,0.5505742857142857,3.6434877484093374e-13,2.4435065395633027e-12,2.366863905325444,12
MMP12,3.246635371606429,20.076136247723134,1.2205285714285712,1.3821159376905137e-14,1.183912187955249e-13,4.142011834319527,21
KRT6B,3.246447700957959,9.462714025500912,0.10246857142857142,1.2875045006201761e-09,4.9944155305035656e-09,3.5502958579881656,18
GRIN2D,3.243512829790774,13.422291256830603,0.5227885714285716,6.6867358907558965e-18,1.2271164485616327e-16,5.325443786982249,27
KIFC1,3.2215393603430473,66.56910145719489,6.243828571428571,9.795264405233192e-21,6.098198949341027e-19,3.9447731755424074,20
MELK,3.1860572618072434,26.343212386156644,2.0043514285714283,1.0184986103406658e-20,6.269847042313546e-19,4.536489151873767,23
TK1,3.17958014159968,168.3663025500911,17.69295714285714,3.136218095628108e-21,2.9566472080955725e-19,1.5779092702169626,8
CHGA,3.1770534888906985,182.84243023679417,19.32625428571428,0.0016024923059745004,0.0027208003635502153,3.155818540433925,16
PIGR,3.1501028735056673,904.7385287795993,101.02988285714287,4.480067669829303e-05,9.417960807446972e-05,6.31163708086785,32
PTTG1,3.147534897489231,78.27589581056465,7.946202857142857,9.420270968726693e-21,6.000603491971158e-19,1.5779092702169626,8
CXCL5,3.1451258829690776,20.6556087431694,1.4478971428571428,2.449785615226367e-07,6.946813867309143e-07,1.5779092702169626,8
CDCA8,3.1274902919283267,45.1217524590164,4.277611428571429,7.523892207844331e-21,5.066496883470032e-19,1.183431952662722,6
B3GNT3,3.125718803596956,35.29517103825137,3.15828,1.963755951874616e-11,1.0005580026173964e-10,1.9723865877712032,10
