sample_id,IFN,TIL,PDL1,TGFB,TIME_index
TCGA-2E-A9G8-01A,1.46321183283642,0.029322366917776045,0.400607697353658,-0.36510464642616847,0.9961519454621198
TCGA-4E-A92E-01A,1.2767347110560605,1.02919834512089,2.2046710501790443,1.2247003464060655,0.2788343557125994
TCGA-5B-A90C-01A,0.937016429762512,-0.6207208460181963,0.03537692193350231,1.1746300298960526,-1.0574058613367798
TCGA-5S-A9Q8-01A,-0.6705373423326229,-0.10825589628945474,0.47383414364217374,-0.2999011516501858,0.19824811999021785
TCGA-A5-A0G1-01A,1.907265810958538,3.1387671029419595,2.831324287622989,-0.2925243771798797,2.9183101110210417
TCGA-A5-A0G2-01A,-0.15397604105226223,0.5515951267469719,0.20828367905268344,0.06170366587236572,0.14026392237676527
TCGA-A5-A0G3-01A,0.743941244743943,-1.5819328845306742,0.8694571563386445,-0.006443119494253857,0.016931625011558295
TCGA-A5-A0G5-01A,0.4414237746420348,1.7234230947223685,1.6873062162174373,-1.2136746238774045,2.497725652404685
TCGA-A5-A0G9-01A,-0.47085785986626405,-0.4289871583310862,-0.8375416233608877,-0.2688493622692252,-0.3102795182501875
TCGA-A5-A0GA-01A,0.2067370380714935,0.25940449201734583,0.45356756467022785,-0.22852297161512183,0.5350926698681442
TCGA-A5-A0GB-01A,-0.6856114172210634,0.3535388860819818,-0.8239026478334198,0.21939148258319072,-0.6047165422406912
TCGA-A5-A0GD-01A,0.23945509678078888,-0.34390536843181224,-0.3555624090324827,-0.4865864083893693,0.3332488481615339
TCGA-A5-A0GE-01A,-0.7869598556692743,0.3314347479396421,-0.7498988107271094,0.13365748534772243,-0.5354654581666363
TCGA-A5-A0GG-01A,0.5596710117621483,0.21726284383636843,0.10694553770880773,0.042704216026155414,0.2519222484096194
TCGA-A5-A0GH-01A,-0.8751795690487494,0.21754734627591338,-0.7645345390228975,0.4081840519652852,-0.8822396392305296
TCGA-A5-A0GI-01A,-0.887494182460528,-0.10796360105180611,-0.7211762417577516,-0.024704900693115126,-0.5475064410635802
TCGA-A5-A0GJ-01A,-0.4673516546613214,-0.10039807226774587,-0.7397746270367261,-1.2689570474838037,0.8331155961618726
TCGA-A5-A0GM-01A,-0.6457334014066141,-0.7273231883834154,-1.2850847970007528,-0.4415295519287031,-0.44451757700155764
TCGA-A5-A0GN-01A,-0.9471426160542683,-0.05799221619849735,0.2019684201844622,-0.9318312992408669,0.6641091618847659
TCGA-A5-A0GP-01A,-0.07621505591550465,-0.3194520490875471,-0.15411792669049845,-0.36724874059353085,0.18398706336234746
TCGA-A5-A0GQ-01A,-0.20176039783402622,-0.2382840939070234,0.6801471972715506,-0.335133144493555,0.4151673796703887
TCGA-A5-A0GR-01A,-0.9061830353183994,0.5778891122327077,-0.7032860782861343,-1.2765582469838164,0.932698246526541
TCGA-A5-A0GU-01A,0.39047517018915534,0.5486028812703732,-0.034794342252174836,0.799547319106807,-0.4981194160376891
TCGA-A5-A0GV-01A,-1.1997915680410627,-0.8303374023509316,-1.0946864640265348,-0.4708665867594004,-0.5707385580467759
TCGA-A5-A0GW-01A,0.3111041818326116,1.3721275383458056,0.9695463523638653,0.0052418551538735425,0.8790175023602206
TCGA-A5-A0GX-01A,-0.8664180773875405,0.37423747999654966,-0.4093371056755793,-0.025028424425673348,-0.2754774765965167
TCGA-A5-A0R6-01A,0.2382323728657501,0.08449606322073214,-1.0407558805654262,-0.03534107112877372,-0.2040014103642076
TCGA-A5-A0R7-01A,-0.04066132249591727,0.04345696797331189,-1.015849189327188,-0.6713156429164121,0.3336311282998143
TCGA-A5-A0R8-01A,0.19866093359240947,0.17207453810813844,-0.4905843231181115,-0.6594884044239779,0.6195387872847901
TCGA-A5-A0R9-01A,-0.13256842221601203,0.3934747692861038,-0.46042306136750416,0.23117177659552374,-0.29767734802799456
TCGA-A5-A0RA-01A,0.7353026732426824,-0.39039533651419234,0.13113663500348394,-0.010294954703873791,0.1689762786145318
TCGA-A5-A0VO-01A,-0.1777993507010878,-0.023305130115369943,-0.6371348795645023,0.20253570615521607,-0.4819488262822027
TCGA-A5-A0VP-01A,-0.023571382266937668,-0.01646551303755782,-0.765187657698883,0.6816386597172476,-0.9500468440517071
TCGA-A5-A0VQ-01A,-0.5278936239435628,-0.11109093498383432,-0.264304326501683,-0.050528770516848176,-0.2505675246261785
TCGA-A5-A1OF-01A,1.142955512368397,1.2020418716288914,1.530401243435389,-0.789466636052741,2.0812661785303
TCGA-A5-A1OG-01A,1.0844250491682024,0.6933745764231778,0.4495680764133898,-0.9810060803808186,1.7234619810490752
TCGA-A5-A1OH-01A,-0.8053850112601999,-1.0091447640360751,-1.470740888381781,0.7453375494873886,-1.8404277707134074
TCGA-A5-A1OJ-01A,-0.7032287732947428,0.5220780634470034,-0.32031607993093153,-0.48777403342491965,0.3206184368320294
TCGA-A5-A1OK-01A,-0.37602779345398046,-0.45182269401353864,-0.1637508809660984,0.6206273808891516,-0.9511611703670242
TCGA-A5-A2K2-01A,0.6165377562414203,-0.7344308794098174,-0.8362976352799089,0.38066750445898995,-0.6987310906084253
TCGA-A5-A2K3-01A,0.7446982978584171,2.9864804277312293,1.6075754346225115,-1.9354491642523044,3.7150338843230237
TCGA-A5-A2K4-01A,0.46911252357489314,0.06326439248946858,0.4312337372015827,0.4167956434841534,-0.09559209239550526
TCGA-A5-A2K5-01A,-0.9106853097108506,0.27477632878283353,-0.6131776668782308,-0.6870308149620699,0.2706685990266539
TCGA-A5-A2K7-01A,0.8744782409865668,-0.5451074968552152,-0.3393333261906065,-0.11414413986626097,0.11082327917984267
TCGA-A5-A3LO-01A,1.4955558251762435,-0.8932063534900859,0.6617339878815379,0.5206087534372075,-0.09924760024797563
TCGA-A5-A3LP-01A,0.0292919239025893,-0.03905732067815408,-0.7251157561015859,-0.6447743288398591,0.39981394454747554
TCGA-A5-A7WJ-01A,0.22134452262165738,-1.0317699261486766,-0.7693293332293103,0.5509504296817656,-1.0775353419338756
TCGA-A5-A7WK-01A,0.49867543028083305,-0.42932936157597223,-0.19182313672003926,-0.049985747147594885,0.009160057809202073
TCGA-A5-AB3J-01A,-0.3129352984329049,0.3767726605452577,0.9471386034674266,0.5618176220182618,-0.22482563349166867
TCGA-AJ-A23M-01A,0.1026729673408495,-0.8977637525404929,-0.6302299122223687,0.9225937883898785,-1.397700687530549
TCGA-AJ-A23N-01A,0.16453062214361458,-0.3578067775350852,-0.10199805597634838,0.45142562152981003,-0.5498503586524164
TCGA-AJ-A23O-01A,0.7072314557545754,0.8622732699624598,0.25634906674815217,-0.09253575207291262,0.7011536828946417
TCGA-AJ-A2QK-01A,0.47881541730002586,0.6826520551924209,0.7456116376482966,0.13781815571653314,0.497874880997048
TCGA-AJ-A2QL-01A,-0.2055054706118753,1.4425443805341673,0.6428296026339266,0.6583323893314188,-0.031709551812679204
TCGA-AJ-A2QM-01A,0.69647563920463,-1.2171817759071029,-0.2349769591313585,0.2813804529821094,-0.5332748182600532
TCGA-AJ-A2QN-01A,-0.6668322858128902,-0.5884170769355435,-0.8369760725773622,0.8281652178938194,-1.5255736963357514
TCGA-AJ-A2QO-01A,-0.5349672292103341,-0.10356472431266114,-0.7460150438367388,-0.25783212648950604,-0.203683539297072
TCGA-AJ-A3BD-01A,1.2049756103096831,0.4866536345454756,0.3850470742332236,-0.8029947388686326,1.49522017856476
TCGA-AJ-A3BF-01A,0.8923214981769725,-0.3087785677280026,-0.36593110833167164,0.2551454892236964,-0.18260821518459697
TCGA-AJ-A3BG-01A,-0.12967196990003804,-0.4704881411772948,-1.1030017910293015,-0.6210917555325669,0.053371121497022056
TCGA-AJ-A3BH-01A,-0.08819505764969106,0.7774300664737648,0.34961965697128644,0.5489460269547464,-0.202661138356293
TCGA-AJ-A3BI-01A,0.4331791020169105,0.4880897240278506,-0.9637322865905724,-1.5632817151481906,1.5491272282995867
TCGA-AJ-A3BK-01A,1.056147012461864,0.6321737081082,0.0710112322111318,-0.2994565215600978,0.8859005058204963
TCGA-AJ-A3EJ-01A,1.0649291204853206,-0.4242037881498715,0.9446763483210953,0.6944169080655018,-0.16594968117998699
TCGA-AJ-A3EK-01A,-0.03711112874169469,0.9684029266555829,1.6086898599659083,0.5472832250147719,0.2993773276118269
TCGA-AJ-A3EL-01A,1.806765118585963,1.4887798758056265,1.553230260220445,0.03326110385830393,1.5829973143457075
TCGA-AJ-A3EM-01A,0.23475550544544152,-1.5341566898849153,-1.2137449200204888,-0.11264889122778378,-0.725066476925537
TCGA-AJ-A3I9-01A,-0.4580716247110898,-0.995037775188234,-0.8840393742591659,-0.23692094788284823,-0.542128643503315
TCGA-AJ-A3IA-01A,0.605228318395202,0.24086287469158632,0.4472788432041888,0.2987446271618592,0.13237871826846648
TCGA-AJ-A3NC-01A,-0.5085782293699915,-0.167925654348499,-0.14555282893691435,0.483876918455864,-0.7578958226743322
TCGA-AJ-A3NE-01A,1.0662543483885523,0.9966904459816804,1.3419427112933875,0.1806947438493745,0.9542677580384988
TCGA-AJ-A3NF-01A,0.6154043294731132,0.3862486296021701,0.3927844813693938,0.7873837893381981,-0.3225713091899724
TCGA-AJ-A3NG-01A,-0.9654920793296777,-0.9272068341182463,-0.47820005773626006,0.7317753653425113,-1.522075022403906
TCGA-AJ-A3NH-01A,0.28767189154189277,-0.734489696997946,-0.6706971482920476,0.34148320047273417,-0.7139881850554344
TCGA-AJ-A3OJ-01A,0.32744960918240323,0.6776922831958306,-0.34908895007014756,-0.22864248675449264,0.44732680085718807
TCGA-AJ-A3OK-01A,-0.8727710974149404,0.197898890782149,-0.6270904240820718,-0.4374739268946828,0.0034863833230616703
TCGA-AJ-A3OL-01A,0.4981274686301967,-1.648374779309298,-0.7048671220230198,0.6580799477328344,-1.2764514253002082
TCGA-AJ-A3QS-01A,1.2291380622230355,0.9724977797580585,1.2426702803499496,-0.012159177458415167,1.1602612182354297
TCGA-AJ-A3TW-01A,0.8362556136389433,0.5282838813242994,1.1944572973560967,-0.16679259469122787,1.019791525464341
TCGA-AJ-A5DV-01A,-0.1833000504135806,-0.6404607825340425,0.028669075456306963,0.148671005889473,-0.4137015917199117
TCGA-AJ-A5DW-01A,-0.14865398390499115,0.4413299361686809,0.3932559685572366,0.7349098711471513,-0.5062658975401759
TCGA-AJ-A6NU-01A,1.2551889787985873,-0.03369150645182064,1.3245389335253555,0.7733959772558953,0.07528282470147873
TCGA-AJ-A8CT-01A,0.4409014931067089,0.9773681758451906,0.7190234795894451,-0.16712442180561668,0.8795554713193983
TCGA-AJ-A8CV-01A,0.9201761822964044,0.7373567942170138,0.5167088253903164,0.09493166140675437,0.6298156058944906
TCGA-AJ-A8CW-01A,0.29023686578049196,-0.04495613032887621,0.48907456061777027,0.5035900618612964,-0.25880496317150103
TCGA-AP-A051-01A,-0.5167407534797293,0.09147154546133426,0.06253420435784827,0.46491171957521044,-0.5858233874620593
TCGA-AP-A052-01A,1.449242425178605,-0.40200470081544754,0.2926838690480371,-0.2956659427156462,0.7423064738527111
TCGA-AP-A053-01A,0.18827843703071362,-0.5075156283498792,0.467669357547219,0.21459354807559972,-0.16511615933291524
TCGA-AP-A054-01A,-0.4051000611074141,0.11914862273553856,0.7816891990236225,0.9813963988029383,-0.8161504785856892
TCGA-AP-A056-01A,-0.103016172028093,0.981199838019257,0.4093921339846465,0.4350278232400871,-0.005835889914816872
TCGA-AP-A059-01A,1.8206677555967778,2.4625418146477287,2.7557266455404386,0.049014280252153986,2.297297791676161
TCGA-AP-A05A-01A,-0.9821845801471046,-1.5636959962199812,-1.24212628977342,-1.1936770997175714,-0.06899185566259725
TCGA-AP-A05D-01A,0.9002953634479333,0.26410568964458125,0.13201664732785837,-0.16541576109502718,0.5975549945684848
TCGA-AP-A05H-01A,-0.06371909863065181,-1.2901544716967077,-1.5951655232393465,0.11235237034264668,-1.0953654015315486
TCGA-AP-A05J-01A,-0.4572512002782139,-1.3768519562716741,-1.4509087220632264,-1.2398252203486841,0.14482126081097935
TCGA-AP-A05N-01A,-0.3034232393011406,-0.4925548800987549,-0.7507629565360032,0.1951800172033977,-0.7107603758486973
TCGA-AP-A05O-01A,0.5548052835525817,0.84330847635392,0.07150047558064647,-0.13942454621027467,0.629295958039324
TCGA-AP-A05P-01A,-0.345134664096355,0.4526950463767224,-0.7863177971859412,0.8302447266153815,-1.0564971982505726
TCGA-AP-A0L8-01A,-1.102120527458524,-0.6379700640688605,-1.1099157640589215,1.1875848401154843,-2.1375869586442526
TCGA-AP-A0L9-01A,1.0276648544910332,-1.0833336099928887,0.2833376415685288,-0.12460062128333663,0.2004902499722277
TCGA-AP-A0LD-01A,0.6576988516429113,-0.42805336600334576,-0.5349661051132836,-0.5217799923291931,0.4200064525046205
TCGA-AP-A0LE-01A,-1.0863447366688277,-0.288862711690014,-0.7811502819070361,-0.9591680281268768,0.24038211803825094
TCGA-AP-A0LF-01A,-0.4487461018575443,1.7059699488796345,-0.40007316720022934,-1.911554701500849,2.1972715947748025
TCGA-AP-A0LG-01A,-0.6384207821898,-0.5801715083833545,-0.7176695456813978,0.5525760416398519,-1.1979966537247027
TCGA-AP-A0LH-01A,-0.018267998381884653,-0.6079446521544045,-0.48851462696353853,-0.6136278061634516,0.2420520469968423
TCGA-AP-A0LI-01A,0.7166276897352791,1.6972649597347327,-0.0900842501635742,-0.46443464015028546,1.2390374399190978
TCGA-AP-A0LJ-01A,-0.2104156257052285,0.21984356136464672,-0.21624522375901087,-0.14872693047786745,0.0797878344446699
TCGA-AP-A0LL-01A,-1.2721934936820878,-0.5680279486810725,-1.0132399177982496,-1.5956130172635774,0.6444592305431073
TCGA-AP-A0LM-01A,-0.27654369320895256,1.3903916378921466,-0.22693798901870124,-0.14622089914130884,0.4418575510294731
