gene,mut_freq_pct,n_mut_samples
DMXL2,13.41222879684418,68
DCC,13.41222879684418,68
FAM135B,13.41222879684418,68
EP300,13.41222879684418,68
SVIL,13.41222879684418,68
IGF2R,13.41222879684418,68
PLXNA4,13.41222879684418,68
MYCBP2,13.41222879684418,68
MIS18BP1,13.41222879684418,68
RANBP2,13.214990138067062,67
HERC1,13.214990138067062,67
IRS4,13.214990138067062,67
RELN,13.214990138067062,67
CNTNAP5,13.214990138067062,67
MYO16,13.214990138067062,67
UTP20,13.214990138067062,67
FBN2,13.214990138067062,67
COL6A3,13.214990138067062,67
RNF213,13.214990138067062,67
FLNB,13.017751479289942,66
DICER1,13.017751479289942,66
DMXL1,13.017751479289942,66
MYO10,13.017751479289942,66
CREBBP,13.017751479289942,66
ESRP1,13.017751479289942,66
DSCAM,13.017751479289942,66
SCAF4,13.017751479289942,66
CACNA1D,13.017751479289942,66
EP400,13.017751479289942,66
MEGF8,13.017751479289942,66
SEC31A,13.017751479289942,66
ITPR1,13.017751479289942,66
KMT2A,13.017751479289942,66
SETX,13.017751479289942,66
SPEG,13.017751479289942,66
TSHZ3,12.82051282051282,65
NFASC,12.82051282051282,65
MAP3K1,12.82051282051282,65
FBN1,12.82051282051282,65
UNC79,12.82051282051282,65
ATR,12.82051282051282,65
ITPR2,12.82051282051282,65
NCOR2,12.82051282051282,65
CHD6,12.82051282051282,65
HTT,12.82051282051282,65
MXRA5,12.82051282051282,65
PDS5B,12.82051282051282,65
SRCAP,12.82051282051282,65
DOCK10,12.6232741617357,64
CMYA5,12.6232741617357,64
CHD7,12.6232741617357,64
ALPK2,12.6232741617357,64
MYO15A,12.6232741617357,64
ALMS1,12.6232741617357,64
MYO9A,12.6232741617357,64
PXDN,12.42603550295858,63
MYH7,12.42603550295858,63
SHPRH,12.42603550295858,63
SDK1,12.42603550295858,63
HYDIN,12.42603550295858,63
CHD8,12.42603550295858,63
IGSF9B,12.42603550295858,63
MYO18B,12.42603550295858,63
TEX15,12.42603550295858,63
PTPRD,12.42603550295858,63
SAMD9L,12.42603550295858,63
UNC13C,12.42603550295858,63
COL5A1,12.42603550295858,63
VPS13B,12.42603550295858,63
FREM1,12.42603550295858,63
HIVEP2,12.22879684418146,62
VCAN,12.22879684418146,62
ANKRD11,12.22879684418146,62
CACNA1F,12.22879684418146,62
CELSR1,12.22879684418146,62
VWF,12.22879684418146,62
GTF3C1,12.22879684418146,62
HSPG2,12.22879684418146,62
ZMYM2,12.22879684418146,62
GPR179,12.22879684418146,62
MAP1B,12.22879684418146,62
LAMA3,12.22879684418146,62
ROS1,12.22879684418146,62
SIPA1L1,12.22879684418146,62
RB1,12.22879684418146,62
FRY,12.22879684418146,62
SCN1A,12.22879684418146,62
RBM27,12.22879684418146,62
VPS13C,12.22879684418146,62
